R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 40.0
2.00000000,0.001212,-327.719
2.05000000,0.001193,-319.634
2.10000000,0.001173,-311.932
2.15000000,0.001153,-304.585
2.20000000,0.001132,-297.571
2.25000000,0.001111,-290.866
2.30000000,0.001090,-284.451
2.35000000,0.001068,-278.307
2.40000000,0.001047,-272.417
2.45000000,0.001025,-266.765
2.50000000,0.001003,-261.338
2.55000000,9.817e-4,-256.121
2.60000000,9.605e-4,-251.104
2.65000000,9.396e-4,-246.274
2.70000000,9.192e-4,-241.621
2.75000000,8.993e-4,-237.135
2.80000000,8.798e-4,-232.808
2.85000000,8.609e-4,-228.632
2.90000000,8.426e-4,-224.597
2.95000000,8.249e-4,-220.698
3.00000000,8.078e-4,-216.927
3.05000000,7.914e-4,-213.279
3.10000000,7.756e-4,-209.746
3.15000000,7.604e-4,-206.325
3.20000000,7.458e-4,-203.008
3.25000000,7.319e-4,-199.792
3.30000000,7.186e-4,-196.673
3.35000000,7.058e-4,-193.645
3.40000000,6.937e-4,-190.704
3.45000000,6.821e-4,-187.848
3.50000000,6.710e-4,-185.072
3.55000000,6.604e-4,-182.372
3.60000000,6.503e-4,-179.747
3.65000000,6.407e-4,-177.192
3.70000000,6.315e-4,-174.704
3.75000000,6.228e-4,-172.282
3.80000000,6.144e-4,-169.922
3.85000000,6.064e-4,-167.623
3.90000000,5.987e-4,-165.381
3.95000000,5.914e-4,-163.195
4.00000000,5.844e-4,-161.062
4.05000000,5.776e-4,-158.980
4.10000000,5.712e-4,-156.949
4.15000000,5.649e-4,-154.965
4.20000000,5.589e-4,-153.027
4.25000000,5.531e-4,-151.133
4.30000000,5.475e-4,-149.283
4.35000000,5.420e-4,-147.474
4.40000000,5.368e-4,-145.705
4.45000000,5.316e-4,-143.975
4.50000000,5.266e-4,-142.282
4.55000000,5.218e-4,-140.625
4.60000000,5.170e-4,-139.003
4.65000000,5.123e-4,-137.415
4.70000000,5.078e-4,-135.860
4.75000000,5.033e-4,-134.337
4.80000000,4.989e-4,-132.844
4.85000000,4.945e-4,-131.381
