R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S13],ANG[S13],DB[S21],ANG[S21],DB[S22],ANG[S22],DB[S23],ANG[S23],DB[S31],ANG[S31],DB[S32],ANG[S32],DB[S33],ANG[S33]
gap = 8.0
Line = 20.0
td = 2.0
Wcoup = 400.0
3.000000000000000,-45.16720503010,82.545518315297,-6.848750473e-4,-8.109415751532,-38.97028091056,80.789956080096,-6.848750480e-4,-8.109415751514,-45.16698195146,82.557539724702,-38.97033444195,80.731962749269,-38.97028091062,80.789956080436,-38.97033444201,80.731962749509,-1.107069293e-3,-10.68432666235
3.500000000000000,-43.83271812072,81.302333785164,-9.307489453e-4,-9.460870451747,-37.63634312351,79.255852284373,-9.307489442e-4,-9.460870451755,-43.83241473468,81.316327064248,-37.63641594021,79.188190173785,-37.63634312356,79.255852284117,-37.63641594026,79.188190173562,-1.504021710e-3,-12.46325097843
4.000000000000000,-42.67801257029,80.058993887730,-1.213724147e-3,-10.81227262597,-36.48226735499,77.722147635902,-1.213724145e-3,-10.81227262600,-42.67761667508,80.074944472083,-36.48236239407,77.644815240569,-36.48226735499,77.722147636112,-36.48236239408,77.644815240828,-1.960799391e-3,-14.24134892932
4.500000000000000,-41.66078356596,78.815477511885,-1.533515645e-3,-12.16361483383,-35.46574370049,76.188898017954,-1.533515647e-3,-12.16361483383,-41.66028302601,78.833368813081,-35.46586388625,76.101893598450,-35.46574370051,76.188898018155,-35.46586388627,76.101893598619,-2.476938896e-3,-16.01850454369
5.000000000000000,-40.75214165199,77.571763087050,-1.889802250e-3,-13.51488996299,-34.55788257032,74.656158859229,-1.889802253e-3,-13.51488996296,-40.75152440212,77.591576515025,-34.55803081265,74.559480450421,-34.55788257031,74.656158859220,-34.55803081265,74.559480450367,-3.051917673e-3,-17.79460267213
5.500000000000000,-39.93148425278,76.327829726129,-2.282226758e-3,-14.86609081470,-33.73807750072,73.123985095774,-2.282226760e-3,-14.86609081468,-39.93073830897,76.349544700841,-33.73825669348,73.017630484756,-33.73807750074,73.123985095634,-33.73825669350,73.017630484650,-3.685155079e-3,-19.56952909162
6.000000000000000,-39.18359864330,75.083657066775,-2.710395942e-3,-16.21721034798,-32.99111274694,71.592431104183,-2.710395945e-3,-16.21721034798,-39.18271210914,75.107251050595,-32.99132576624,71.476397838570,-32.99111274693,71.592431104141,-32.99132576623,71.476397838578,-4.376013327e-3,-21.34317059597
6.500000000000000,-38.49693304435,73.839224747043,-3.173883412e-3,-17.56824157538,-32.30543260669,70.061550756568,-3.173883409e-3,-17.56824157537,-38.49589411793,73.864673265974,-32.30568230944,69.935836120194,-32.30543260669,70.061550756589,-32.30568230945,69.935836120147,-5.123799454e-3,-23.11541509611
7.000000000000000,-37.86250721127,72.594512359103,-3.672226141e-3,-18.91917772664,-31.67205395599,68.531396915444,-3.672226145e-3,-18.91917772662,-37.86130419388,72.621789035320,-31.67234317811,68.395997935517,-31.67205395600,68.531396915574,-31.67234317812,68.395997935594,-5.927763240e-3,-24.88615169642
7.500000000000001,-37.27320509499,71.349501362613,-4.204930510e-3,-20.27001191643,-31.08385486131,67.002022265092,-4.204930511e-3,-20.27001191643,-37.27182639595,71.378577953779,-31.08418641633,66.856935696179,-31.08385486131,67.002022265211,-31.08418641632,66.856935696287,-6.787104977e-3,-26.65527082946
8.000000000000000,-36.72328705056,70.104172183473,-4.771469322e-3,-21.62073770821,-30.53509328091,65.473478491530,-4.771469314e-3,-21.62073770820,-36.72172119564,70.135018593089,-30.53546995843,65.318700801581,-30.53509328091,65.473478491583,-30.53546995843,65.318700801631,-7.700971306e-3,-28.42266428264
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S13],ANG[S13],DB[S21],ANG[S21],DB[S22],ANG[S22],DB[S23],ANG[S23],DB[S31],ANG[S31],DB[S32],ANG[S32],DB[S33],ANG[S33]
gap = 8.0
Line = 20.0
td = 3.0
Wcoup = 400.0
3.000000000000000,-46.66102289539,82.564614703001,-5.486865591e-4,-8.076038829401,-39.81891012726,80.764838396552,-5.486865596e-4,-8.076038829403,-46.66081243200,82.575681976790,-39.81895365637,80.708559340494,-39.81891012723,80.764838396580,-39.81895365633,80.708559340532,-9.116192694e-4,-10.71627653369
3.500000000000000,-45.32704776497,81.324562835371,-7.455630435e-4,-9.421949021751,-38.48496848270,79.226555157257,-7.455630429e-4,-9.421949021762,-45.32676151868,81.337445423915,-38.48502769066,79.160892762820,-38.48496848270,79.226555156968,-38.48502769066,79.160892762554,-1.238275069e-3,-12.50050161538
4.000000000000000,-44.17293199519,80.084370334529,-9.721227368e-4,-10.76781511192,-37.33088821092,77.688674245425,-9.721227372e-4,-10.76781511192,-44.17255844000,80.099054800153,-37.33096548358,77.613626885374,-37.33088821094,77.688674245821,-37.33096548360,77.613626885761,-1.614128742e-3,-14.28388918318
4.500000000000000,-43.15637151713,78.844018228301,-1.228131783e-3,-12.11363082415,-36.31435938497,76.151252017952,-1.228131784e-3,-12.11363082415,-43.15589918226,78.860489277018,-36.31445709692,76.066817812992,-36.31435938497,76.151252018171,-36.31445709693,76.066817813201,-2.038796712e-3,-16.06632169193
