R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S13],ANG[S13],DB[S21],ANG[S21],DB[S22],ANG[S22],DB[S23],ANG[S23],DB[S31],ANG[S31],DB[S32],ANG[S32],DB[S33],ANG[S33]
gap = 8.0
Line = 20.0
td = 2.0
Wcoup = 400.0
3.000000000000000,-46.16611081973,82.801179949099,-7.861016556e-4,-8.105619221209,-38.06008857926,79.665044558474,-7.861016553e-4,-8.105619221199,-46.16578474004,82.815069907720,-38.06013899762,79.604365847873,-38.06008857920,79.665044558477,-38.06013899757,79.604365847828,-1.365066914e-3,-12.90628791957
3.500000000000000,-44.82981731231,81.598940733146,-1.067308881e-3,-9.456388154396,-36.73144021409,77.946661833489,-1.067308880e-3,-9.456388154394,-44.82937456255,81.615073229287,-36.73150879712,77.875864689371,-36.73144021405,77.946661833737,-36.73150879708,77.875864689584,-1.852321333e-3,-15.04926656618
4.000000000000000,-43.67304478299,80.395817757819,-1.390262331e-3,-10.80708081150,-35.58344116625,76.230141793662,-1.390262331e-3,-10.80708081150,-43.67246810414,80.414159917890,-35.58353068094,76.149223741714,-35.58344116625,76.230141793461,-35.58353068094,76.149223741530,-2.411562381e-3,-17.18855489206
4.500000000000000,-42.65349633299,79.191696459572,-1.754349887e-3,-12.15768684961,-34.57377040871,74.515737908432,-1.754349885e-3,-12.15768684962,-42.65276875070,79.212211126946,-34.57388361025,74.424696101605,-34.57377040869,74.515737908653,-34.57388361023,74.424696101832,-3.041623494e-3,-19.32364970293
5.000000000000000,-41.74229043728,77.986465314588,-2.158887037e-3,-13.50819645067,-33.67352588344,72.803698741402,-2.158887039e-3,-13.50819645067,-41.74139529310,78.009111172937,-33.67366551374,72.702529970223,-33.67352588342,72.803698741398,-33.67366551372,72.702529970228,-3.741201494e-3,-21.45405713618
5.500000000000000,-40.91883369185,76.780018061063,-2.603119948e-3,-14.85859991522,-32.86208736022,71.094267431918,-2.603119947e-3,-14.85859991519,-40.91775467388,76.804749826534,-32.86225614640,70.982968096852,-32.86208736020,71.094267432194,-32.86225614637,70.982968097130,-4.508862996e-3,-23.57929368096
6.000000000000000,-40.16792303276,75.572253570930,-3.086228327e-3,-16.20888793107,-32.12422408532,69.387681187413,-3.086228326e-3,-16.20888793107,-40.16664420076,75.599022148649,-32.12442473813,69.266247307287,-32.12422408530,69.387681187415,-32.12442473811,69.266247307267,-5.343051712e-3,-25.69888711903
6.500000000000000,-39.47801718465,74.363075662878,-3.607331089e-3,-17.55905147204,-31.44836416093,67.684170891964,-3.607331089e-3,-17.55905147205,-39.47652299705,74.391828350204,-31.44859937343,67.552598083319,-31.44836416092,67.684170891995,-31.44859937342,67.552598083352,-6.242096479e-3,-27.81237743741
7.000000000000000,-38.84014678603,73.152393202068,-4.165486438e-3,-18.90908198408,-30.82550714452,65.983960323163,-4.165486437e-3,-18.90908198407,-38.83842212087,73.183073875146,-30.82577959040,65.842243802687,-30.82550714452,65.983960323084,-30.82577959041,65.842243802593,-7.204216795e-3,-29.91931763776
7.500000000000001,-38.24720750686,71.940122660449,-4.759700975e-3,-20.25897106100,-30.24851271904,64.287266423771,-4.759700975e-3,-20.25897106101,-38.24523768035,71.972671994020,-30.24882505138,64.135400992138,-30.24851271904,64.287266423860,-30.24882505138,64.135400992204,-8.227536287e-3,-32.01927458398
8.000000000000000,-37.69347148136,70.726184702799,-5.388930231e-3,-21.60871101187,-29.71161947086,62.594298351576,-5.388930230e-3,-21.60871101188,-37.69124226671,70.760540366665,-29.71197432065,62.432278380283,-29.71161947085,62.594298351525,-29.71197432065,62.432278380243,-9.310086835e-3,-34.11182961191
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S13],ANG[S13],DB[S21],ANG[S21],DB[S22],ANG[S22],DB[S23],ANG[S23],DB[S31],ANG[S31],DB[S32],ANG[S32],DB[S33],ANG[S33]
gap = 8.0
Line = 20.0
td = 3.0
Wcoup = 400.0
3.000000000000000,-47.54305756303,82.781593934651,-6.239002242e-4,-8.072885346499,-39.01225719977,79.632739746103,-6.239002233e-4,-8.072885346505,-47.54276150416,82.793781730614,-39.01229870890,79.573593303921,-39.01225719970,79.632739745737,-39.01229870885,79.573593303565,-1.097725580e-3,-12.96079236156
3.500000000000000,-46.20749471179,81.576164266067,-8.469491281e-4,-9.418227983647,-37.68366106989,77.909014606987,-8.469491279e-4,-9.418227983641,-46.20709268809,81.590318574675,-37.68371753058,77.840005011019,-37.68366106995,77.909014606837,-37.68371753064,77.840005010860,-1.489241781e-3,-15.11273062043
4.000000000000000,-45.05156314483,80.369922553475,-1.103067643e-3,-10.76350773070,-36.53572190705,76.187171194219,-1.103067642e-3,-10.76350773070,-45.05103945455,80.386013969329,-36.53579559461,76.108295927901,-36.53572190702,76.187171194190,-36.53579559459,76.108295927830,-1.938541715e-3,-17.26092190178
4.500000000000000,-44.03296621065,79.162763680880,-1.391757287e-3,-12.10871602881,-35.52611852132,74.467465549880,-1.391757287e-3,-12.10871602882,-44.03230539993,79.180758955118,-35.52621170045,74.378721716407,-35.52611852135,74.467465549872,-35.52621170049,74.378721716388,-2.444679416e-3,-19.40485547103
