190426_coupler_1pH_NbTiN De-Embedded Nominal: tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=3400.0
Frequency GHz, DB[S13]
2,-29.3105
3,-25.6303
4,-23.0267
5,-21.1667
6,-19.987
7,-19.4652
8,-19.5181

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=100.0
Frequency GHz, DB[S13]
2,-59.3815
3,-55.8615
4,-53.3643
5,-51.4268
6,-49.8421
7,-48.4998
8,-47.3339

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=200.0
Frequency GHz, DB[S13]
2,-53.7355
3,-50.2139
4,-47.7143
5,-45.7737
6,-44.1853
7,-42.8386
8,-41.6677

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=300.0
Frequency GHz, DB[S13]
2,-50.3355
3,-46.8119
4,-44.3095
5,-42.3653
6,-40.7724
7,-39.4206
8,-38.2437

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=400.0
Frequency GHz, DB[S13]
2,-47.8963
3,-44.3703
4,-41.8646
5,-39.9162
6,-38.3184
7,-36.9606
8,-35.7771

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=500.0
Frequency GHz, DB[S13]
2,-45.9928
3,-42.4641
4,-39.9548
5,-38.0017
6,-36.3982
7,-35.034
8,-33.8433

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=600.0
Frequency GHz, DB[S13]
2,-44.4314
3,-40.8997
4,-38.3862
5,-36.4279
6,-34.8183
7,-33.4472
8,-32.2489

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=700.0
Frequency GHz, DB[S13]
2,-43.1074
3,-39.5723
4,-37.0543
5,-35.0904
6,-33.4743
7,-32.0959
8,-30.89

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=800.0
Frequency GHz, DB[S13]
2,-41.9578
3,-38.4191
4,-35.8962
5,-33.9263
6,-32.3034
7,-30.9176
8,-29.704

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=900.0
Frequency GHz, DB[S13]
2,-40.9419
3,-37.3992
4,-34.8711
5,-32.8949
6,-31.2648
7,-29.8716
8,-28.6509

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1000.0
Frequency GHz, DB[S13]
2,-40.0315
3,-36.4846
4,-33.9509
5,-31.9681
6,-30.3309
7,-28.9307
8,-27.7036

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1100.0
Frequency GHz, DB[S13]
2,-39.2066
3,-35.6553
4,-33.1157
5,-31.1262
6,-29.4819
7,-28.0751
8,-26.843

190426_coupler_1pH_NbTiN De-Embedded tandelta=0.0 t_aSi=0.25 W=10.0 Lcoupler=1200.0
Frequency GHz, DB[S13]
2,-38.4524
3,-34.8964
4,-32.3507
5,-30.3544
6,-28.7033
7,-27.2908
8,-26.0553

